Project Name,Funding ($M),Tasks Required,"Free to Join(Yes=1, No=0)","VC Backing(Yes=1, No=0)",Airdrop Longevity (Days),Token Utility,Team Size,"GitHub Activity(Low=0, Medium=1, High=2)",Twitter Followers,Community Size,"Market Condition(Bull=1, Bear= -1, Neutral=0)",Blockchain,Sector,Initial Value ($),Peak Value ($),Average value($),Success Score (0-10)
Status,100.0,Unknown,0,1,7,Messaging,30,1,180000,80000,1,Ethereum,Social,0.03,0.23,0.13,4.2
Stratis,0.6,Unknown,0,1,7,"Governance, Layer 1",15,1,90000,40000,-1,Stratis,Layer 1,0.01,22.66,11.335,2.8
Substratum,13.8,Unknown,0,1,7,Decentralized Web,15,1,60000,25000,1,Ethereum,Infrastructure,0.05,3.25,1.65,2.8
Titanium Blockchain,21.0,Unknown,0,0,7,Infrastructure,8,0,50000,20000,1,Ethereum,Infrastructure,0.4,2.0,1.2,0.0
TRON,70.0,Unknown,0,1,7,"Governance, Layer 1",50,1,3200000,1500000,1,TRON,Layer 1,0.0022,0.3,0.15109999999999998,4.2
Vauld,27.0,Unknown,0,1,7,Lending,120,1,180000,80000,0,Ethereum,DeFi,0.05,0.12,0.08499999999999999,0.2
VeChain,20.0,Unknown,0,1,7,Supply Chain,100,2,520000,220000,1,VeChain,Supply Chain,0.0021,0.28,0.14105,4.8
Waltonchain,10.5,Unknown,0,1,7,Supply Chain,25,1,110000,45000,1,Ethereum,Supply Chain,1.0,42.46,21.73,3.5
Wanchain,36.0,Unknown,0,1,7,Interoperability,30,1,120000,50000,1,Wanchain,Infrastructure,0.34,9.92,5.13,3.0
Waves,16.0,Unknown,0,1,7,"Governance, Layer 1",20,1,180000,80000,-1,Waves,Layer 1,0.19,41.33,20.759999999999998,3.0
Abracadabra,0.0,Unknown,1,0,7,Lending,0,1,150000,60000,1,Ethereum,DeFi,0.0045,0.03,0.017249999999999998,3.0
Akita Inu,0.0,Unknown,1,0,7,Meme,0,0,120000,50000,1,Ethereum,Meme,1.7e-08,3e-05,1.50085e-05,2.0
Banano,0.0,Unknown,1,0,7,Meme,10,1,60000,25000,-1,Banano,Meme,0.003,0.05,0.026500000000000003,2.8
Basis Cash,0.0,Unknown,1,0,7,Stablecoin,0,1,30000,12000,1,Ethereum,Stablecoin,1.0,1.38,1.19,0.8
Beefy Finance,0.0,Unknown,1,0,7,"Governance, Yield",10,1,120000,50000,1,Multi-chain,DeFi,386.0,2389.0,1387.5,7.8
BitcoinDark,0.0,Unknown,1,0,7,Privacy,5,0,10000,4000,-1,BitcoinDark,Privacy,0.75,97.0,48.875,1.5
BitUSD,0.0,Unknown,1,0,7,Stablecoin,10,0,20000,8000,-1,BitShares,Stablecoin,1.0,1.15,1.075,1.5
Brett,0.0,Unknown,1,0,7,Meme,0,0,320000,150000,1,Solana,Meme,6.9e-06,4.2e-05,2.4449999999999998e-05,2.5
Anoncoin,0.0,Mining,1,0,7,Privacy,2,0,4000,1600,-1,Anoncoin,Privacy,0.15,13.0,6.575,1.0
BBQCoin,0.0,Mining,1,0,7,Currency,1,0,1200,500,-1,BBQCoin,Currency,0.01,0.15,0.08,0.2
Beam,0.0,Mining,1,0,7,Privacy,15,1,40000,15000,-1,Beam,Privacy,0.8,3.13,1.9649999999999999,2.8
Bitgem,0.0,Mining,1,0,7,Currency,1,0,1200,500,-1,Bitgem,Currency,0.5,7.0,3.75,0.2
Bytecoin,0.0,Mining,1,0,7,Privacy,5,0,20000,8000,-1,Bytecoin,Privacy,1e-06,0.03,0.0150005,1.5
Dash,0.0,Mining,1,0,7,Privacy,20,1,160000,70000,-1,Dash,Privacy,0.21,1642.22,821.215,3.5
Devcoin,0.0,Mining,1,0,7,Currency,1,0,1000,400,-1,Devcoin,Currency,2e-05,0.0006,0.00031,0.2
Digitalcoin,0.0,Mining,1,0,7,Currency,1,0,2000,800,-1,Digitalcoin,Currency,0.03,0.5,0.265,0.5
DeepOnion,0.0,Unknown,1,0,7,Privacy,5,0,25000,10000,1,DeepOnion,Privacy,0.15,8.19,4.17,1.8
Dogecoin,0.0,Mining,1,0,7,Currency,5,1,3500000,1500000,-1,Dogecoin,Currency,0.000227,0.73,0.3651135,4.5
Fastcoin,0.0,Mining,1,0,7,Currency,1,0,1800,700,-1,Fastcoin,Currency,0.002,0.05,0.026000000000000002,0.2
Doge Killer,0.0,Unknown,1,0,7,Meme,0,0,80000,35000,1,Ethereum,Meme,700.0,8983.0,4841.5,2.0
Feathercoin,0.0,Mining,1,0,7,Currency,2,0,5000,2000,-1,Feathercoin,Currency,0.01,1.24,0.625,1.8
Dogecoin Cash,0.0,Unknown,1,0,7,Meme,0,0,5000,2000,-1,Dogecoin Cash,Meme,0.001,0.005,0.003,0.5
Dogelon Mars,0.0,Unknown,1,0,7,Meme,0,0,380000,150000,1,Ethereum,Meme,7e-11,2.6e-06,1.300035e-06,2.5
Dogwifhat,0.0,Unknown,1,0,7,Meme,0,0,450000,200000,1,Solana,Meme,0.00041,4.85,2.4252049999999996,3.2
Freicoin,0.0,Mining,1,0,7,Currency,1,0,2500,1000,-1,Freicoin,Currency,0.15,1.2,0.6749999999999999,0.5
Dynamic Set Dollar,0.0,Unknown,1,0,7,Stablecoin,0,1,20000,8000,1,Ethereum,Stablecoin,1.0,3.0,2.0,0.5
Goldcoin,0.0,Mining,1,0,7,Currency,1,0,2000,800,-1,Goldcoin,Currency,0.01,0.6,0.305,0.5
Empty Set Dollar,0.0,Unknown,1,0,7,Stablecoin,0,1,25000,10000,1,Ethereum,Stablecoin,1.0,23.88,12.44,1.0
Grin,0.0,Mining,1,0,7,Privacy,10,1,30000,12000,-1,Grin,Privacy,5.15,13.74,9.445,2.5
Horizen,0.0,Mining,1,0,7,Privacy,20,1,90000,40000,1,Horizen,Privacy,4.53,168.46,86.495,3.2
I0Coin,0.0,Mining,1,0,7,Currency,1,0,1500,600,-1,I0Coin,Currency,0.03,0.25,0.14,0.2
Infinitecoin,0.0,Mining,1,0,7,Currency,1,0,3000,1200,-1,Infinitecoin,Currency,2e-06,0.001,0.000501,0.5
Ixcoin,0.0,Mining,1,0,7,Currency,1,0,2000,800,-1,Ixcoin,Currency,0.05,0.45,0.25,0.2
Floki Inu,0.0,Unknown,1,0,7,Meme,0,0,450000,200000,1,Ethereum,Meme,4e-08,0.0003,0.00015001999999999998,3.0
Megacoin,0.0,Mining,1,0,7,Currency,1,0,3500,1500,-1,Megacoin,Currency,0.15,7.0,3.575,0.8
Mincoin,0.0,Mining,1,0,7,Currency,1,0,2000,800,-1,Mincoin,Currency,0.05,7.5,3.775,0.5
MonaCoin,0.0,Mining,1,0,7,Meme,5,0,40000,15000,-1,MonaCoin,Meme,0.05,16.61,8.33,2.5
Monero,0.0,Mining,1,0,7,Privacy,30,2,480000,200000,-1,Monero,Privacy,2.47,542.33,272.40000000000003,4.8
Mooncoin,0.0,Mining,1,0,7,Currency,1,0,8000,3000,-1,Mooncoin,Currency,9e-08,0.00014,7.0045e-05,0.5
Namecoin,0.0,Mining,1,0,7,Domain,3,0,8000,3000,-1,Namecoin,Domain,0.15,15.41,7.78,2.5
NavCoin,0.0,Mining,1,0,7,Privacy,5,0,20000,8000,-1,NavCoin,Privacy,9e-05,4.65,2.3250450000000003,1.5
Novacoin,0.0,Mining,1,0,7,Currency,1,0,2000,800,-1,Novacoin,Currency,10.0,700.0,355.0,0.8
Peercoin,0.0,Mining,1,0,7,Currency,2,0,12000,5000,-1,Peercoin,Layer 1,0.1,9.45,4.7749999999999995,2.0
Phoenixcoin,0.0,Mining,1,0,7,Currency,1,0,1500,600,-1,Phoenixcoin,Currency,0.01,0.25,0.13,0.2
Potcoin,0.0,Mining,1,0,7,Industry,2,0,25000,10000,-1,Potcoin,Industry,0.0023,0.5,0.25115,1.5
Primecoin,0.0,Mining,1,0,7,Currency,1,0,4000,1500,-1,Primecoin,Currency,0.5,10.0,5.25,1.2
Quark,0.0,Mining,1,0,7,Currency,1,0,3000,1200,-1,Quark,Currency,0.0023,0.29,0.14615,0.8
Hextra,0.0,Unknown,1,0,7,DeFi,0,0,20000,8000,-1,Ethereum,DeFi,0.01,0.05,0.030000000000000002,0.0
Sia,1.25,Mining,1,0,7,"Utility, Storage",15,2,120000,50000,-1,Sia,Storage,4.6e-05,0.094,0.047023,7.8
Hoge Finance,0.0,Unknown,1,0,7,Meme,0,0,150000,60000,1,Ethereum,Meme,6.7e-07,0.0009,0.000450335,1.8
Terracoin,0.0,Mining,1,0,7,Currency,2,0,3000,1200,-1,Terracoin,Currency,0.15,6.8,3.475,0.5
Vertcoin,0.0,Mining,1,0,7,Currency,5,1,30000,12000,-1,Vertcoin,Currency,0.05,10.0,5.025,3.0
Zcash,0.0,Mining,1,0,7,Privacy,25,2,150000,60000,-1,Zcash,Privacy,5853.0,3191.93,4522.465,4.0
Zetacoin,0.0,Mining,1,0,7,Currency,1,0,2500,1000,-1,Zetacoin,Currency,0.0002,0.08,0.040100000000000004,0.5
IRON Titanium,0.0,Unknown,1,0,7,Stablecoin,5,0,60000,25000,1,Polygon,Stablecoin,65.0,64.19,64.595,0.0
Kishu Inu,0.0,Unknown,1,0,7,Meme,0,0,280000,120000,1,Ethereum,Meme,1e-13,1.9e-08,9.50005e-09,1.8
Klima DAO,0.0,Unknown,1,0,7,Carbon Credits,0,1,90000,40000,1,Polygon,DeFi,3447.0,3832.0,3639.5,2.2
Kusama,0.0,Unknown,1,0,7,"Governance, Staking",40,2,180000,80000,-1,Kusama,Layer 1,1.5,621.0,311.25,9.2
NuBits,0.0,Peercoin Holders,1,0,7,Stablecoin,5,0,15000,6000,-1,NuBits,Stablecoin,1.0,1.02,1.01,0.2
Neutrino USD,0.0,Unknown,1,0,7,Stablecoin,15,1,50000,20000,-1,Waves,Stablecoin,1.0,1.01,1.005,1.0
Gridcoin,0.0,Scientific Computing,1,0,7,Computing,3,0,6000,2500,-1,Gridcoin,Computing,0.0004,0.14,0.07020000000000001,2.2
Einsteinium,0.0,Scientific Funding,1,0,7,Charity,2,0,15000,6000,-1,Einsteinium,Charity,0.0001,2.88,1.44005,1.8
Olympus DAO,0.0,Unknown,1,0,7,Reserve Currency,0,1,120000,50000,1,Ethereum,DeFi,500.0,1415.26,957.63,2.0
Friend.tech,0.0,Social,1,0,7,"Governance, Social",10,1,350000,150000,1,Base,Social,0.01,0.05,0.030000000000000002,6.5
Bonk,0.0,Solana Holders,1,0,7,Meme,0,0,650000,300000,-1,Solana,Meme,1e-08,3e-05,1.5005000000000001e-05,3.8
Particl,0.0,Unknown,1,0,7,Privacy,10,1,15000,6000,1,Particl,Privacy,5.0,52.7,28.85,2.0
Pepe,0.0,Unknown,1,0,7,Meme,0,0,1500000,700000,1,Ethereum,Meme,1e-09,4e-06,2.0004999999999997e-06,3.5
QuadrigaCX,0.0,Unknown,1,0,7,Exchange,10,0,80000,30000,-1,Ethereum,Exchange,0.1,0.12,0.11,0.0
Redacted Cartel,0.0,Unknown,1,0,7,Governance,0,1,50000,20000,1,Ethereum,DeFi,1200.0,2000.0,1600.0,2.5
SafeDollar,0.0,Unknown,1,0,7,Stablecoin,0,0,10000,4000,1,Polygon,Stablecoin,1.0,1.02,1.01,0.0
SafeMoon,0.0,Unknown,1,0,7,Reflection,10,0,1200000,500000,1,BNB Chain,DeFi,1e-09,6.5e-06,3.2504999999999996e-06,1.5
Saitama Inu,0.0,Unknown,1,0,7,Meme,0,0,320000,150000,1,Ethereum,Meme,8.9e-12,1.6e-07,8.000445e-08,1.5
Samoyedcoin,0.0,Unknown,1,0,7,Meme,0,0,180000,80000,1,Solana,Meme,0.00051,0.22,0.110255,2.2
Secret Network,2.0,Unknown,1,1,7,Privacy,20,2,150000,60000,1,Secret,Privacy,0.3,10.97,5.635000000000001,4.2
Shiba Inu,0.0,Unknown,1,0,7,Meme,0,0,3200000,1500000,1,Ethereum,Meme,8.2e-11,8e-05,4.0000041e-05,4.5
Socios,0.0,Unknown,1,0,7,"Governance, Sports",30,1,250000,100000,1,Chiliz,Sports,5.0,58.79,31.895,7.8
PIVX,0.0,Staking,1,0,7,Privacy,15,1,40000,15000,-1,PIVX,Privacy,0.01,14.05,7.03,2.2
Squid Game,0.0,Unknown,1,0,7,Gaming,0,0,100000,50000,1,BNB Chain,Gaming,0.01,2861.8,1430.9050000000002,0.0
Temple DAO,0.0,Unknown,1,0,7,Reserve Currency,0,1,60000,25000,1,Ethereum,DeFi,0.33,0.4,0.365,1.8
Terra UST,0.0,Unknown,1,0,7,Stablecoin,0,2,450000,200000,1,Terra,Stablecoin,1.0,1.01,1.005,0.2
TerraUSD,0.0,Unknown,1,0,7,Stablecoin,0,2,450000,200000,1,Terra,Stablecoin,1.0,1.01,1.005,0.2
Thodex Token,0.0,Unknown,1,0,7,Exchange,15,0,120000,50000,1,Ethereum,Exchange,0.12,0.15,0.135,0.0
Tornado Cash,0.0,Unknown,1,0,7,Privacy,5,2,20000,8000,1,Ethereum,Privacy,30.0,437.0,233.5,1.0
Verge,0.0,Unknown,1,0,7,Privacy,10,0,280000,120000,-1,Verge,Privacy,8e-06,0.3,0.150004,2.0
WalletConnect,0.0,Unknown,1,0,7,Infrastructure,15,2,180000,80000,0,Ethereum,Infrastructure,0.2,0.6,0.4,4.0
Wojak,0.0,Unknown,1,0,7,Meme,0,0,250000,100000,1,Ethereum,Meme,5e-08,5e-07,2.75e-07,2.0
Wonderland,0.0,Unknown,1,0,7,Reserve Currency,0,1,180000,80000,1,Avalanche,DeFi,2434.0,10064.0,6249.0,1.5
Yearn Finance,0.0,Unknown,1,0,7,"Governance, Yield",15,2,180000,80000,1,Ethereum,DeFi,34.53,93435.53,46735.03,9.5
Luna Classic,1000.0,Unknown,0,1,7,"Governance, Stablecoin",50,2,650000,300000,1,Terra,Layer 1,1.36,119.18,60.27,0.5
Terra,150.0,Unknown,0,1,7,Stablecoin,50,2,650000,300000,-1,Terra,DeFi,0.12,119.18,59.650000000000006,0.5
Serum,20.0,Unknown,1,1,7,"Governance, Fee Reduction",20,2,180000,80000,1,Solana,DeFi,0.11,13.72,6.915,6.8
Jupiter,40.0,Trading,1,1,7,"Governance, Fee Sharing",30,2,380000,150000,1,Solana,DeFi,0.33,1.25,0.79,7.6
Hop Protocol,3.5,Bridge Usage,1,1,60,Governance,15,1,180000,80000,-1,Ethereum,DeFi,0.15,0.31,0.22999999999999998,5.8
FTX Token,900.0,Unknown,0,1,7,"Exchange, Utility",200,2,580000,250000,-1,Ethereum,Exchange,1.0,85.44,43.22,1.0
OliveX,2.1,Move-to-Earn,0,1,30,"Governance, Utility",15,1,120000,50000,1,Polygon,Move-to-Earn,0.05,0.41,0.22999999999999998,6.5
Optimism,150.0,Unknown,1,1,7,Governance,40,2,580000,220000,-1,Ethereum,Layer 2,1.43,3.22,2.325,7.5
Pyth Network,25.0,Unknown,1,1,7,"Governance, Oracle",40,2,250000,120000,0,Solana,Oracle,0.11,0.67,0.39,8.8
Livepeer,8.0,Staking,1,1,90,"Governance, Staking",20,2,120000,50000,-1,Ethereum,Web3,8.8,99.04,53.92,9.1
Celestia,55.0,Testnet,1,1,7,"Governance, Staking",35,2,320000,140000,1,Celestia,Layer 1,2.0,16.88,9.44,8.1
Sui,300.0,Testnet,1,1,7,"Governance, Staking",90,2,420000,180000,0,Sui,Layer 1,1.25,2.16,1.705,7.8
Mango Markets,70.0,Trading,1,1,30,Governance,10,1,120000,50000,1,Solana,DeFi,0.15,0.52,0.335,7.3
Pangolin,2.5,Trading,1,1,30,Governance,10,1,120000,50000,1,Avalanche,DeFi,1.5,3.0,2.25,6.5
Saber,7.7,Liquidity,1,1,30,Governance,10,1,90000,40000,1,Solana,DeFi,0.04,0.33,0.185,7.9
Dotmoovs,3.5,Move-to-Earn,0,1,30,"Governance, Utility",20,1,150000,60000,1,Ethereum,Move-to-Earn,0.02,0.19,0.105,6.7
Render,30.0,Unknown,1,1,7,"Governance, Utility",25,2,180000,70000,0,Ethereum,Web3,0.05,8.75,4.4,7.7
Jito,10.0,Staking,1,1,7,"Governance, Staking",25,2,210000,95000,0,Solana,DeFi,1.26,3.12,2.19,8.4
Lido,2.0,Unknown,1,1,30,Governance,20,2,180000,80000,1,Ethereum,DeFi,1.2,7.3,4.25,8.7
Connext,12.0,Bridge Usage,1,1,90,Governance,20,1,150000,70000,-1,Ethereum,DeFi,0.25,0.42,0.33499999999999996,5.5
Audius,5.5,Unknown,1,1,7,"Governance, Platform",25,2,250000,100000,1,Ethereum,Social,0.16,4.99,2.575,9.4
Walken,1.5,Move-to-Earn,0,1,30,"Governance, Utility",20,1,180000,70000,-1,Solana,Move-to-Earn,0.04,0.07,0.05500000000000001,5.3
Marinade Finance,3.0,Staking,1,1,45,Governance,12,1,110000,45000,1,Solana,DeFi,0.33,1.89,1.1099999999999999,6.7
Scroll,83.0,Testnet,1,1,7,"Governance, Layer 2",35,2,180000,80000,1,Ethereum,Layer 2,1.8,3.25,2.525,7.2
Sei,30.0,Testnet,1,1,7,"Governance, Staking",30,2,240000,110000,0,Sei,Layer 1,0.12,0.88,0.5,7.4
dYdX,87.0,Trading,1,1,7,"Governance, Fee Reduction",35,2,320000,150000,1,Ethereum,DeFi,10.0,27.78,18.89,8.2
Casper,14.0,Unknown,0,1,7,"Governance, Layer 1",40,1,180000,80000,1,Casper,Layer 1,0.03,1.33,0.68,4.8
Space ID,10.0,Domain,1,1,7,"Governance, Domain",25,1,220000,90000,0,BNB Chain,Domain,0.45,0.95,0.7,6.7
Mines of Dalarnia,3.8,Gaming,0,1,7,"Governance, Gaming",25,1,220000,90000,1,BNB Chain,Gaming,0.57,6.84,3.705,7.5
Somnium Space,1.0,Metaverse,1,1,7,"Governance, Metaverse",20,1,150000,60000,0,Ethereum,Metaverse,0.23,24.92,12.575000000000001,8.7
Fitfi,3.5,Move-to-Earn,0,1,7,"Governance, Utility",20,1,250000,100000,-1,BNB Chain,Move-to-Earn,0.01,0.14,0.07500000000000001,6.8
Step App,5.0,Move-to-Earn,0,1,7,"Governance, Utility",25,1,320000,150000,-1,Avalanche,Move-to-Earn,0.04,0.1,0.07,5.8
STEPVR,8.0,Move-to-Earn,0,1,30,"Governance, Utility",25,1,180000,80000,-1,BNB Chain,Move-to-Earn,0.03,0.08,0.055,5.5
Treasure DAO,7.5,NFT,1,1,7,"Governance, NFT",15,1,150000,60000,-1,Arbitrum,NFT,1.64,5.58,3.61,7.1
Lens Protocol,15.0,Social,1,1,45,"Governance, Social",30,2,350000,120000,-1,Polygon,Social,5.0,8.75,6.875,6.2
Akash Network,3.2,Staking,1,1,60,"Governance, Utility",20,1,110000,45000,1,Cosmos,Cloud,3.3,5.92,4.609999999999999,6.3
Aptos,350.0,Testnet,1,1,7,"Governance, Staking",80,2,380000,150000,-1,Aptos,Layer 1,9.0,19.92,14.46,6.5
Linea,150.0,Testnet,1,1,7,"Governance, Layer 2",40,2,220000,90000,1,Ethereum,Layer 2,0.8,1.6,1.2000000000000002,6.5
Orca,18.0,Trading,1,1,30,"Governance, Fee Sharing",15,1,130000,60000,1,Solana,DeFi,3.25,13.97,8.61,7.0
zkSync,200.0,Unknown,1,1,7,"Governance, Layer 2",50,2,320000,150000,0,Ethereum,Layer 2,1.5,3.25,2.375,7.0
